R_PPI AIMed_d30 0 *EMPTY*-*EMPTY* token:Isolation|NN|O|-3|-9|root|0 token:of|IN|O|-2|-8|case|3 token:human|JJ|O|-1|-7|amod|3 token:delta-catenin|NN|P1|0|-6|nmod:of|0 token:and|CC|O|1|-5|cc|0 token:its|PRP$|O|2|-4|nmod:poss|7 token:binding|NN|O|3|-3|compound|7 token:specificity|NN|O|4|-2|conj:and|0 token:with|IN|O|5|-1|case|9 token:presenilin|NN|P2|6|0|nmod:with|7 token:1|CD|P2|7|0|nummod|9 token:.|.|O|8|1|| dep_token:delta-catenin|NN|P1|nmod:of|0 dep_token:Isolation|NN|O|root|0 dep_token:specificity|NN|O|conj:and|0 dep_token:presenilin|NN|P2|nmod:with|7 dep_path_len:3 lex_dep_path:GENE_1|<-nmod:of<-w:isol->conj:and->nmod:with->|GENE_2 lex_dep_path:GENE_1|<-nmod:of<-__->conj:and->w:specif->nmod:with->|GENE_2	Isolation of human <1>delta-catenin</1> and its binding specificity with <1>presenilin 1</1>.
NONE AIMed_d192 0 *EMPTY*-*EMPTY* token:Activation|NN|O|-2|-7|nsubj|5 token:of|IN|O|-1|-6|case|4 token:interferon-gamma|NN|P1|0|-5|compound|4 token:inducing|NN|P|1|-4|compound|4 token:factor|NN|P|2|-3|nmod:of|0 token:mediated|VBN|O|3|-2|root|5 token:by|IN|O|4|-1|case|9 token:interleukin-1beta|NN|P2|5|0|compound|9 token:converting|NN|P2|6|0|compound|9 token:enzyme|NN|P2|7|0|nmod:by|5 token:.|.|O|8|1|| dep_token:interferon-gamma|NN|P1|compound|4 dep_token:factor|NN|P|nmod:of|0 dep_token:Activation|NN|O|nsubj|5 dep_token:mediated|VBN|O|root|5 dep_token:enzyme|NN|P2|nmod:by|5 dep_path_len:4 lex_dep_path:GENE_1|<-compound<-w:factor<-nmod:of<-nsubj<-__->nmod:by->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:of<-w:activ<-nsubj<-__->nmod:by->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:of<-nsubj<-w:mediat->nmod:by->|GENE_2	Activation of <0><1>interferon-gamma</1> inducing factor</0> mediated by <1><0>interleukin-1beta</0> converting enzyme</1>.
NONE AIMed_d192 0 *EMPTY*-*EMPTY* token:Activation|NN|O|-2|-7|nsubj|5 token:of|IN|O|-1|-6|case|4 token:interferon-gamma|NN|P1|0|-5|compound|4 token:inducing|NN|P1|0|-4|compound|4 token:factor|NN|P1|0|-3|nmod:of|0 token:mediated|VBN|O|1|-2|root|5 token:by|IN|O|2|-1|case|9 token:interleukin-1beta|NN|P2|3|0|compound|9 token:converting|NN|P|4|1|compound|9 token:enzyme|NN|P|5|2|nmod:by|5 token:.|.|O|6|3|| dep_token:factor|NN|P1|nmod:of|0 dep_token:Activation|NN|O|nsubj|5 dep_token:mediated|VBN|O|root|5 dep_token:enzyme|NN|P|nmod:by|5 dep_token:interleukin-1beta|NN|P2|compound|9 dep_path_len:4 lex_dep_path:GENE_1|<-nmod:of<-w:activ<-nsubj<-__->nmod:by->compound->|GENE_2 lex_dep_path:GENE_1|<-nmod:of<-nsubj<-w:mediat->nmod:by->compound->|GENE_2 lex_dep_path:GENE_1|<-nmod:of<-nsubj<-__->nmod:by->w:enzym->compound->|GENE_2	Activation of <1><0>interferon-gamma</0> inducing factor</1> mediated by <0><1>interleukin-1beta</1> converting enzyme</0>.
R_PPI AIMed_d192 0 *EMPTY*-*EMPTY* token:Activation|NN|O|-2|-7|nsubj|5 token:of|IN|O|-1|-6|case|4 token:interferon-gamma|NN|P1|0|-5|compound|4 token:inducing|NN|P1|0|-4|compound|4 token:factor|NN|P1|0|-3|nmod:of|0 token:mediated|VBN|O|1|-2|root|5 token:by|IN|O|2|-1|case|9 token:interleukin-1beta|NN|P2|3|0|compound|9 token:converting|NN|P2|4|0|compound|9 token:enzyme|NN|P2|5|0|nmod:by|5 token:.|.|O|6|1|| dep_token:factor|NN|P1|nmod:of|0 dep_token:Activation|NN|O|nsubj|5 dep_token:mediated|VBN|O|root|5 dep_token:enzyme|NN|P2|nmod:by|5 dep_path_len:3 lex_dep_path:GENE_1|<-nmod:of<-w:activ<-nsubj<-__->nmod:by->|GENE_2 lex_dep_path:GENE_1|<-nmod:of<-nsubj<-w:mediat->nmod:by->|GENE_2	Activation of <1><0>interferon-gamma</0> inducing factor</1> mediated by <1><0>interleukin-1beta</0> converting enzyme</1>.
NONE AIMed_d192 0 *EMPTY*-*EMPTY* token:Activation|NN|O|-7|-7|nsubj|5 token:of|IN|O|-6|-6|case|4 token:interferon-gamma|NN|P|-5|-5|compound|4 token:inducing|NN|P|-4|-4|compound|4 token:factor|NN|P|-3|-3|nmod:of|0 token:mediated|VBN|O|-2|-2|root|5 token:by|IN|O|-1|-1|case|9 token:interleukin-1beta|NN|P1|0|0|compound|9 token:converting|NN|P2|1|0|compound|9 token:enzyme|NN|P2|2|0|nmod:by|5 token:.|.|O|3|1|| dep_token:interleukin-1beta|NN|P1|compound|9 dep_token:enzyme|NN|P2|nmod:by|5 dep_path_len:1	Activation of <0><0>interferon-gamma</0> inducing factor</0> mediated by <1><1>interleukin-1beta</1> converting enzyme</1>.
NONE AIMed_d192 1 *EMPTY*-*EMPTY* token:The|DT|O|-1|-1|det|6 token:interleukin-1beta|NN|P1|0|0|compound|6 token:(|-LRB-|P2|1|0|| token:IL-1beta|NN|P2|2|0|appos|1 token:)|-RRB-|P2|3|0|| token:converting|NN|P2|4|0|compound|6 token:enzyme|NN|P2|5|0|nsubj|10 token:(|-LRB-|O|6|1|| token:ICE|NN|P|7|2|appos|6 token:)|-RRB-|O|8|3|| token:processes|VBZ|O|9|4|root|10 token:the|DT|O|10|5|det|14 token:inactive|JJ|O|11|6|amod|14 token:IL-1beta|NN|P|12|7|compound|14 token:precursor|NN|O|13|8|dobj|10 token:to|TO|O|14|9|case|18 token:the|DT|O|15|10|det|18 token:proinflammatory|JJ|O|16|11|amod|18 token:cytokine|NN|O|17|12|nmod:to|14 token:.|.|O|18|13|| dep_token:interleukin-1beta|NN|P1|compound|6 dep_token:enzyme|NN|P2|nsubj|10 dep_path_len:1	The <1><1>interleukin-1beta</1> (<0>IL-1beta</0>) converting enzyme</1> (<0>ICE</0>) processes the inactive <0>IL-1beta</0> precursor to the proinflammatory cytokine.
NONE AIMed_d192 1 *EMPTY*-*EMPTY* token:The|DT|O|-1|-3|det|6 token:interleukin-1beta|NN|P1|0|-2|compound|6 token:(|-LRB-|P|1|-1|| token:IL-1beta|NN|P2|2|0|appos|1 token:)|-RRB-|P|3|1|| token:converting|NN|P|4|2|compound|6 token:enzyme|NN|P|5|3|nsubj|10 token:(|-LRB-|O|6|4|| token:ICE|NN|P|7|5|appos|6 token:)|-RRB-|O|8|6|| token:processes|VBZ|O|9|7|root|10 token:the|DT|O|10|8|det|14 token:inactive|JJ|O|11|9|amod|14 token:IL-1beta|NN|P|12|10|compound|14 token:precursor|NN|O|13|11|dobj|10 token:to|TO|O|14|12|case|18 token:the|DT|O|15|13|det|18 token:proinflammatory|JJ|O|16|14|amod|18 token:cytokine|NN|O|17|15|nmod:to|14 token:.|.|O|18|16|| dep_token:interleukin-1beta|NN|P1|compound|6 dep_token:IL-1beta|NN|P2|appos|1 dep_path_len:1	The <0><1>interleukin-1beta</1> (<1>IL-1beta</1>) converting enzyme</0> (<0>ICE</0>) processes the inactive <0>IL-1beta</0> precursor to the proinflammatory cytokine.
R_PPI AIMed_d192 1 *EMPTY*-*EMPTY* token:The|DT|O|-1|-8|det|6 token:interleukin-1beta|NN|P1|0|-7|compound|6 token:(|-LRB-|P|1|-6|| token:IL-1beta|NN|P|2|-5|appos|1 token:)|-RRB-|P|3|-4|| token:converting|NN|P|4|-3|compound|6 token:enzyme|NN|P|5|-2|nsubj|10 token:(|-LRB-|O|6|-1|| token:ICE|NN|P2|7|0|appos|6 token:)|-RRB-|O|8|1|| token:processes|VBZ|O|9|2|root|10 token:the|DT|O|10|3|det|14 token:inactive|JJ|O|11|4|amod|14 token:IL-1beta|NN|P|12|5|compound|14 token:precursor|NN|O|13|6|dobj|10 token:to|TO|O|14|7|case|18 token:the|DT|O|15|8|det|18 token:proinflammatory|JJ|O|16|9|amod|18 token:cytokine|NN|O|17|10|nmod:to|14 token:.|.|O|18|11|| dep_token:interleukin-1beta|NN|P1|compound|6 dep_token:enzyme|NN|P|nsubj|10 dep_token:ICE|NN|P2|appos|6 dep_path_len:2 lex_dep_path:GENE_1|<-compound<-w:enzym->appos->|GENE_2	The <0><1>interleukin-1beta</1> (<0>IL-1beta</0>) converting enzyme</0> (<1>ICE</1>) processes the inactive <0>IL-1beta</0> precursor to the proinflammatory cytokine.
NONE AIMed_d192 1 *EMPTY*-*EMPTY* token:The|DT|O|-1|-13|det|6 token:interleukin-1beta|NN|P1|0|-12|compound|6 token:(|-LRB-|P|1|-11|| token:IL-1beta|NN|P|2|-10|appos|1 token:)|-RRB-|P|3|-9|| token:converting|NN|P|4|-8|compound|6 token:enzyme|NN|P|5|-7|nsubj|10 token:(|-LRB-|O|6|-6|| token:ICE|NN|P|7|-5|appos|6 token:)|-RRB-|O|8|-4|| token:processes|VBZ|O|9|-3|root|10 token:the|DT|O|10|-2|det|14 token:inactive|JJ|O|11|-1|amod|14 token:IL-1beta|NN|P2|12|0|compound|14 token:precursor|NN|O|13|1|dobj|10 token:to|TO|O|14|2|case|18 token:the|DT|O|15|3|det|18 token:proinflammatory|JJ|O|16|4|amod|18 token:cytokine|NN|O|17|5|nmod:to|14 token:.|.|O|18|6|| dep_token:interleukin-1beta|NN|P1|compound|6 dep_token:enzyme|NN|P|nsubj|10 dep_token:processes|VBZ|O|root|10 dep_token:precursor|NN|O|dobj|10 dep_token:IL-1beta|NN|P2|compound|14 dep_path_len:4 lex_dep_path:GENE_1|<-compound<-w:enzym<-nsubj<-__->dobj->compound->|GENE_2 lex_dep_path:GENE_1|<-compound<-nsubj<-w:process->dobj->compound->|GENE_2 lex_dep_path:GENE_1|<-compound<-nsubj<-__->dobj->w:precursor->compound->|GENE_2	The <0><1>interleukin-1beta</1> (<0>IL-1beta</0>) converting enzyme</0> (<0>ICE</0>) processes the inactive <1>IL-1beta</1> precursor to the proinflammatory cytokine.
NONE AIMed_d192 1 *EMPTY*-*EMPTY* token:The|DT|O|-1|-3|det|6 token:interleukin-1beta|NN|P1|0|-2|compound|6 token:(|-LRB-|P1|0|-1|| token:IL-1beta|NN|P1|0|0|appos|1 token:)|-RRB-|P1|0|1|| token:converting|NN|P1|0|2|compound|6 token:enzyme|NN|P1|0|3|nsubj|10 token:(|-LRB-|O|1|4|| token:ICE|NN|P|2|5|appos|6 token:)|-RRB-|O|3|6|| token:processes|VBZ|O|4|7|root|10 token:the|DT|O|5|8|det|14 token:inactive|JJ|O|6|9|amod|14 token:IL-1beta|NN|P|7|10|compound|14 token:precursor|NN|O|8|11|dobj|10 token:to|TO|O|9|12|case|18 token:the|DT|O|10|13|det|18 token:proinflammatory|JJ|O|11|14|amod|18 token:cytokine|NN|O|12|15|nmod:to|14 token:.|.|O|13|16|| dep_token:enzyme|NN|P1|nsubj|10 dep_token:interleukin-1beta|NN|P1|compound|6 dep_token:IL-1beta|NN|P1|appos|1 dep_path_len:2 lex_dep_path:GENE_1|->compound->w:interleukin-1beta->appos->|GENE_2	The <1><0>interleukin-1beta</0> (<1>IL-1beta</1>) converting enzyme</1> (<0>ICE</0>) processes the inactive <0>IL-1beta</0> precursor to the proinflammatory cytokine.
NONE AIMed_d192 1 *EMPTY*-*EMPTY* token:The|DT|O|-1|-8|det|6 token:interleukin-1beta|NN|P1|0|-7|compound|6 token:(|-LRB-|P1|0|-6|| token:IL-1beta|NN|P1|0|-5|appos|1 token:)|-RRB-|P1|0|-4|| token:converting|NN|P1|0|-3|compound|6 token:enzyme|NN|P1|0|-2|nsubj|10 token:(|-LRB-|O|1|-1|| token:ICE|NN|P2|2|0|appos|6 token:)|-RRB-|O|3|1|| token:processes|VBZ|O|4|2|root|10 token:the|DT|O|5|3|det|14 token:inactive|JJ|O|6|4|amod|14 token:IL-1beta|NN|P|7|5|compound|14 token:precursor|NN|O|8|6|dobj|10 token:to|TO|O|9|7|case|18 token:the|DT|O|10|8|det|18 token:proinflammatory|JJ|O|11|9|amod|18 token:cytokine|NN|O|12|10|nmod:to|14 token:.|.|O|13|11|| dep_token:enzyme|NN|P1|nsubj|10 dep_token:ICE|NN|P2|appos|6 dep_path_len:1	The <1><0>interleukin-1beta</0> (<0>IL-1beta</0>) converting enzyme</1> (<1>ICE</1>) processes the inactive <0>IL-1beta</0> precursor to the proinflammatory cytokine.
NONE AIMed_d192 1 *EMPTY*-*EMPTY* token:The|DT|O|-1|-13|det|6 token:interleukin-1beta|NN|P1|0|-12|compound|6 token:(|-LRB-|P1|0|-11|| token:IL-1beta|NN|P1|0|-10|appos|1 token:)|-RRB-|P1|0|-9|| token:converting|NN|P1|0|-8|compound|6 token:enzyme|NN|P1|0|-7|nsubj|10 token:(|-LRB-|O|1|-6|| token:ICE|NN|P|2|-5|appos|6 token:)|-RRB-|O|3|-4|| token:processes|VBZ|O|4|-3|root|10 token:the|DT|O|5|-2|det|14 token:inactive|JJ|O|6|-1|amod|14 token:IL-1beta|NN|P2|7|0|compound|14 token:precursor|NN|O|8|1|dobj|10 token:to|TO|O|9|2|case|18 token:the|DT|O|10|3|det|18 token:proinflammatory|JJ|O|11|4|amod|18 token:cytokine|NN|O|12|5|nmod:to|14 token:.|.|O|13|6|| dep_token:enzyme|NN|P1|nsubj|10 dep_token:processes|VBZ|O|root|10 dep_token:precursor|NN|O|dobj|10 dep_token:IL-1beta|NN|P2|compound|14 dep_path_len:3 lex_dep_path:GENE_1|<-nsubj<-w:process->dobj->compound->|GENE_2 lex_dep_path:GENE_1|<-nsubj<-__->dobj->w:precursor->compound->|GENE_2	The <1><0>interleukin-1beta</0> (<0>IL-1beta</0>) converting enzyme</1> (<0>ICE</0>) processes the inactive <1>IL-1beta</1> precursor to the proinflammatory cytokine.
R_PPI AIMed_d192 1 *EMPTY*-*EMPTY* token:The|DT|O|-3|-8|det|6 token:interleukin-1beta|NN|P|-2|-7|compound|6 token:(|-LRB-|P|-1|-6|| token:IL-1beta|NN|P1|0|-5|appos|1 token:)|-RRB-|P|1|-4|| token:converting|NN|P|2|-3|compound|6 token:enzyme|NN|P|3|-2|nsubj|10 token:(|-LRB-|O|4|-1|| token:ICE|NN|P2|5|0|appos|6 token:)|-RRB-|O|6|1|| token:processes|VBZ|O|7|2|root|10 token:the|DT|O|8|3|det|14 token:inactive|JJ|O|9|4|amod|14 token:IL-1beta|NN|P|10|5|compound|14 token:precursor|NN|O|11|6|dobj|10 token:to|TO|O|12|7|case|18 token:the|DT|O|13|8|det|18 token:proinflammatory|JJ|O|14|9|amod|18 token:cytokine|NN|O|15|10|nmod:to|14 token:.|.|O|16|11|| dep_token:IL-1beta|NN|P1|appos|1 dep_token:interleukin-1beta|NN|P|compound|6 dep_token:enzyme|NN|P|nsubj|10 dep_token:ICE|NN|P2|appos|6 dep_path_len:3 lex_dep_path:GENE_1|<-appos<-w:interleukin-1beta<-compound<-__->appos->|GENE_2 lex_dep_path:GENE_1|<-appos<-compound<-w:enzym->appos->|GENE_2	The <0><0>interleukin-1beta</0> (<1>IL-1beta</1>) converting enzyme</0> (<1>ICE</1>) processes the inactive <0>IL-1beta</0> precursor to the proinflammatory cytokine.
NONE AIMed_d192 1 *EMPTY*-*EMPTY* token:The|DT|O|-3|-13|det|6 token:interleukin-1beta|NN|P|-2|-12|compound|6 token:(|-LRB-|P|-1|-11|| token:IL-1beta|NN|P1|0|-10|appos|1 token:)|-RRB-|P|1|-9|| token:converting|NN|P|2|-8|compound|6 token:enzyme|NN|P|3|-7|nsubj|10 token:(|-LRB-|O|4|-6|| token:ICE|NN|P|5|-5|appos|6 token:)|-RRB-|O|6|-4|| token:processes|VBZ|O|7|-3|root|10 token:the|DT|O|8|-2|det|14 token:inactive|JJ|O|9|-1|amod|14 token:IL-1beta|NN|P2|10|0|compound|14 token:precursor|NN|O|11|1|dobj|10 token:to|TO|O|12|2|case|18 token:the|DT|O|13|3|det|18 token:proinflammatory|JJ|O|14|4|amod|18 token:cytokine|NN|O|15|5|nmod:to|14 token:.|.|O|16|6|| dep_token:IL-1beta|NN|P1|appos|1 dep_token:interleukin-1beta|NN|P|compound|6 dep_token:enzyme|NN|P|nsubj|10 dep_token:processes|VBZ|O|root|10 dep_token:precursor|NN|O|dobj|10 dep_token:IL-1beta|NN|P2|compound|14 dep_path_len:5 lex_dep_path:GENE_1|<-appos<-w:interleukin-1beta<-compound<-nsubj<-__->dobj->compound->|GENE_2 lex_dep_path:GENE_1|<-appos<-compound<-w:enzym<-nsubj<-__->dobj->compound->|GENE_2 lex_dep_path:GENE_1|<-appos<-compound<-nsubj<-w:process->dobj->compound->|GENE_2 lex_dep_path:GENE_1|<-appos<-compound<-nsubj<-__->dobj->w:precursor->compound->|GENE_2	The <0><0>interleukin-1beta</0> (<1>IL-1beta</1>) converting enzyme</0> (<0>ICE</0>) processes the inactive <1>IL-1beta</1> precursor to the proinflammatory cytokine.
NONE AIMed_d192 1 *EMPTY*-*EMPTY* token:The|DT|O|-8|-13|det|6 token:interleukin-1beta|NN|P|-7|-12|compound|6 token:(|-LRB-|P|-6|-11|| token:IL-1beta|NN|P|-5|-10|appos|1 token:)|-RRB-|P|-4|-9|| token:converting|NN|P|-3|-8|compound|6 token:enzyme|NN|P|-2|-7|nsubj|10 token:(|-LRB-|O|-1|-6|| token:ICE|NN|P1|0|-5|appos|6 token:)|-RRB-|O|1|-4|| token:processes|VBZ|O|2|-3|root|10 token:the|DT|O|3|-2|det|14 token:inactive|JJ|O|4|-1|amod|14 token:IL-1beta|NN|P2|5|0|compound|14 token:precursor|NN|O|6|1|dobj|10 token:to|TO|O|7|2|case|18 token:the|DT|O|8|3|det|18 token:proinflammatory|JJ|O|9|4|amod|18 token:cytokine|NN|O|10|5|nmod:to|14 token:.|.|O|11|6|| dep_token:ICE|NN|P1|appos|6 dep_token:enzyme|NN|P|nsubj|10 dep_token:processes|VBZ|O|root|10 dep_token:precursor|NN|O|dobj|10 dep_token:IL-1beta|NN|P2|compound|14 dep_path_len:4 lex_dep_path:GENE_1|<-appos<-w:enzym<-nsubj<-__->dobj->compound->|GENE_2 lex_dep_path:GENE_1|<-appos<-nsubj<-w:process->dobj->compound->|GENE_2 lex_dep_path:GENE_1|<-appos<-nsubj<-__->dobj->w:precursor->compound->|GENE_2	The <0><0>interleukin-1beta</0> (<0>IL-1beta</0>) converting enzyme</0> (<1>ICE</1>) processes the inactive <1>IL-1beta</1> precursor to the proinflammatory cytokine.
NONE AIMed_d192 2 *EMPTY*-*EMPTY* token:ICE|NN|P1|0|-9|nsubj@nsubjpass|3@5 token:was|VBD|O|1|-8|auxpass|3 token:also|RB|O|2|-7|advmod|3 token:shown|VBN|O|3|-6|root|3 token:to|TO|O|4|-5|mark|5 token:cleave|VB|O|5|-4|xcomp|3 token:the|DT|O|6|-3|det|7 token:precursor|NN|O|7|-2|dobj|5 token:of|IN|O|8|-1|case|11 token:interferon-gamma|NN|P2|9|0|compound|11 token:inducing|NN|P|10|1|compound|11 token:factor|NN|P|11|2|nmod:of|7 token:(|-LRB-|O|12|3|| token:IGIF|NN|P|13|4|appos|11 token:)|-RRB-|O|14|5|| token:at|IN|O|15|6|case|19 token:the|DT|O|16|7|det|19 token:authentic|JJ|O|17|8|amod|19 token:processing|NN|O|18|9|compound|19 token:site|NN|O|19|10|nmod:at|5 token:with|IN|O|20|11|case|22 token:high|JJ|O|21|12|amod|22 token:efficiency|NN|O|22|13|nmod:with|19 token:,|,|O|23|14|| token:thereby|RB|O|24|15|advmod|25 token:activating|VBG|O|25|16|dep|5 token:IGIF|NN|P|26|17|dobj|25 token:and|CC|O|27|18|cc|25 token:facilitating|VBG|O|28|19|conj:and@dep|25@5 token:its|PRP$|O|29|20|nmod:poss|30 token:export|NN|O|30|21|dobj|28 token:.|.|O|31|22|| dep_token:ICE|NN|P1|nsubj@nsubjpass|3@5 dep_token:cleave|VB|O|xcomp|3 dep_token:precursor|NN|O|dobj|5 dep_token:factor|NN|P|nmod:of|7 dep_token:interferon-gamma|NN|P2|compound|11 dep_path_len:4 lex_dep_path:GENE_1|<-nsubj<-w:cleav->dobj->nmod:of->compound->|GENE_2 lex_dep_path:GENE_1|<-nsubj<-__->dobj->w:precursor->nmod:of->compound->|GENE_2 lex_dep_path:GENE_1|<-nsubj<-__->dobj->nmod:of->w:factor->compound->|GENE_2	<1>ICE</1> was also shown to cleave the precursor of <0><1>interferon-gamma</1> inducing factor</0> (<0>IGIF</0>) at the authentic processing site with high efficiency, thereby activating <0>IGIF</0> and facilitating its export.
R_PPI AIMed_d192 2 *EMPTY*-*EMPTY* token:ICE|NN|P1|0|-9|nsubj@nsubjpass|3@5 token:was|VBD|O|1|-8|auxpass|3 token:also|RB|O|2|-7|advmod|3 token:shown|VBN|O|3|-6|root|3 token:to|TO|O|4|-5|mark|5 token:cleave|VB|O|5|-4|xcomp|3 token:the|DT|O|6|-3|det|7 token:precursor|NN|O|7|-2|dobj|5 token:of|IN|O|8|-1|case|11 token:interferon-gamma|NN|P2|9|0|compound|11 token:inducing|NN|P2|10|0|compound|11 token:factor|NN|P2|11|0|nmod:of|7 token:(|-LRB-|O|12|1|| token:IGIF|NN|P|13|2|appos|11 token:)|-RRB-|O|14|3|| token:at|IN|O|15|4|case|19 token:the|DT|O|16|5|det|19 token:authentic|JJ|O|17|6|amod|19 token:processing|NN|O|18|7|compound|19 token:site|NN|O|19|8|nmod:at|5 token:with|IN|O|20|9|case|22 token:high|JJ|O|21|10|amod|22 token:efficiency|NN|O|22|11|nmod:with|19 token:,|,|O|23|12|| token:thereby|RB|O|24|13|advmod|25 token:activating|VBG|O|25|14|dep|5 token:IGIF|NN|P|26|15|dobj|25 token:and|CC|O|27|16|cc|25 token:facilitating|VBG|O|28|17|conj:and@dep|25@5 token:its|PRP$|O|29|18|nmod:poss|30 token:export|NN|O|30|19|dobj|28 token:.|.|O|31|20|| dep_token:ICE|NN|P1|nsubj@nsubjpass|3@5 dep_token:cleave|VB|O|xcomp|3 dep_token:precursor|NN|O|dobj|5 dep_token:factor|NN|P2|nmod:of|7 dep_path_len:3 lex_dep_path:GENE_1|<-nsubj<-w:cleav->dobj->nmod:of->|GENE_2 lex_dep_path:GENE_1|<-nsubj<-__->dobj->w:precursor->nmod:of->|GENE_2	<1>ICE</1> was also shown to cleave the precursor of <1><0>interferon-gamma</0> inducing factor</1> (<0>IGIF</0>) at the authentic processing site with high efficiency, thereby activating <0>IGIF</0> and facilitating its export.
R_PPI AIMed_d192 2 *EMPTY*-*EMPTY* token:ICE|NN|P1|0|-13|nsubj@nsubjpass|3@5 token:was|VBD|O|1|-12|auxpass|3 token:also|RB|O|2|-11|advmod|3 token:shown|VBN|O|3|-10|root|3 token:to|TO|O|4|-9|mark|5 token:cleave|VB|O|5|-8|xcomp|3 token:the|DT|O|6|-7|det|7 token:precursor|NN|O|7|-6|dobj|5 token:of|IN|O|8|-5|case|11 token:interferon-gamma|NN|P|9|-4|compound|11 token:inducing|NN|P|10|-3|compound|11 token:factor|NN|P|11|-2|nmod:of|7 token:(|-LRB-|O|12|-1|| token:IGIF|NN|P2|13|0|appos|11 token:)|-RRB-|O|14|1|| token:at|IN|O|15|2|case|19 token:the|DT|O|16|3|det|19 token:authentic|JJ|O|17|4|amod|19 token:processing|NN|O|18|5|compound|19 token:site|NN|O|19|6|nmod:at|5 token:with|IN|O|20|7|case|22 token:high|JJ|O|21|8|amod|22 token:efficiency|NN|O|22|9|nmod:with|19 token:,|,|O|23|10|| token:thereby|RB|O|24|11|advmod|25 token:activating|VBG|O|25|12|dep|5 token:IGIF|NN|P|26|13|dobj|25 token:and|CC|O|27|14|cc|25 token:facilitating|VBG|O|28|15|conj:and@dep|25@5 token:its|PRP$|O|29|16|nmod:poss|30 token:export|NN|O|30|17|dobj|28 token:.|.|O|31|18|| dep_token:ICE|NN|P1|nsubj@nsubjpass|3@5 dep_token:cleave|VB|O|xcomp|3 dep_token:precursor|NN|O|dobj|5 dep_token:factor|NN|P|nmod:of|7 dep_token:IGIF|NN|P2|appos|11 dep_path_len:4 lex_dep_path:GENE_1|<-nsubj<-w:cleav->dobj->nmod:of->appos->|GENE_2 lex_dep_path:GENE_1|<-nsubj<-__->dobj->w:precursor->nmod:of->appos->|GENE_2 lex_dep_path:GENE_1|<-nsubj<-__->dobj->nmod:of->w:factor->appos->|GENE_2	<1>ICE</1> was also shown to cleave the precursor of <0><0>interferon-gamma</0> inducing factor</0> (<1>IGIF</1>) at the authentic processing site with high efficiency, thereby activating <0>IGIF</0> and facilitating its export.
R_PPI AIMed_d192 2 *EMPTY*-*EMPTY* token:ICE|NN|P1|0|-26|nsubj@nsubjpass|3@5 token:was|VBD|O|1|-25|auxpass|3 token:also|RB|O|2|-24|advmod|3 token:shown|VBN|O|3|-23|root|3 token:to|TO|O|4|-22|mark|5 token:cleave|VB|O|5|-21|xcomp|3 token:the|DT|O|6|-20|det|7 token:precursor|NN|O|7|-19|dobj|5 token:of|IN|O|8|-18|case|11 token:interferon-gamma|NN|P|9|-17|compound|11 token:inducing|NN|P|10|-16|compound|11 token:factor|NN|P|11|-15|nmod:of|7 token:(|-LRB-|O|12|-14|| token:IGIF|NN|P|13|-13|appos|11 token:)|-RRB-|O|14|-12|| token:at|IN|O|15|-11|case|19 token:the|DT|O|16|-10|det|19 token:authentic|JJ|O|17|-9|amod|19 token:processing|NN|O|18|-8|compound|19 token:site|NN|O|19|-7|nmod:at|5 token:with|IN|O|20|-6|case|22 token:high|JJ|O|21|-5|amod|22 token:efficiency|NN|O|22|-4|nmod:with|19 token:,|,|O|23|-3|| token:thereby|RB|O|24|-2|advmod|25 token:activating|VBG|O|25|-1|dep|5 token:IGIF|NN|P2|26|0|dobj|25 token:and|CC|O|27|1|cc|25 token:facilitating|VBG|O|28|2|conj:and@dep|25@5 token:its|PRP$|O|29|3|nmod:poss|30 token:export|NN|O|30|4|dobj|28 token:.|.|O|31|5|| dep_token:ICE|NN|P1|nsubj@nsubjpass|3@5 dep_token:cleave|VB|O|xcomp|3 dep_token:activating|VBG|O|dep|5 dep_token:IGIF|NN|P2|dobj|25 dep_path_len:3 lex_dep_path:GENE_1|<-nsubj<-w:cleav->dep->dobj->|GENE_2 lex_dep_path:GENE_1|<-nsubj<-__->dep->w:activ->dobj->|GENE_2	<1>ICE</1> was also shown to cleave the precursor of <0><0>interferon-gamma</0> inducing factor</0> (<0>IGIF</0>) at the authentic processing site with high efficiency, thereby activating <1>IGIF</1> and facilitating its export.
